Año,Generación MWh,Tarifa USD/kWh,Ahorro energía,Ahorro continuidad,Beneficios,O&M,Seguro_admin,EBITDA,Depreciación,EBIT,Impuesto,Flujo operativo,CAPEX,Capital trabajo,Residual,FCF,Factor descuento,VP
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6000000,-80000,0,-6080000.0,1.0,-6080000.0
1,8250.0,0.095,744562.5,500000.0,1244562.5,120000.0,40000.0,1084562.5,400000.0,684562.5,171140.625,913421.875,0,0,0,913421.875,0.9049773755656109,826626.1312217194
2,8208.75,0.09737499999999999,759360.6796874999,507499.99999999994,1266860.6796874998,122400.0,40800.0,1103660.6796874998,400000.0,703660.6796874998,175915.16992187494,927745.5097656248,0,0,0,927745.5097656248,0.8189840502856207,759808.7752221492
3,8167.70625,0.09980937499999999,774452.9731962889,515112.4999999999,1289565.4731962888,124848.0,41616.0,1123101.4731962888,400000.0,723101.4731962888,180775.3682990722,942326.1048972167,0,0,0,942326.1048972167,0.7411620364575753,698416.3349127558
4,8126.86771875,0.10230460937499997,789845.2260385649,522839.1874999998,1312684.4135385647,127344.96000000002,42448.32000000001,1142891.1335385647,400000.0,742891.1335385647,185722.78338464117,957168.3501539235,0,0,0,957168.3501539235,0.6707348746222401,642006.1933328683
5,8086.23338015625,0.10486222460937496,805543.3999060814,530681.7753124998,1336225.1752185812,129891.85919999999,43297.2864,1163036.029618581,400000.0,763036.0296185811,190759.00740464526,972277.0222139359,0,0,0,972277.0222139359,0.6069998865359639,590172.0421653839
6,8045.802213255469,0.10748378022460932,821553.5749792147,538642.0019421872,1360195.576921402,132489.696384,44163.232128,1183542.648409402,400000.0,783542.648409402,195885.6621023505,987656.9863070515,0,0,0,987656.9863070515,0.5493211642859402,542540.8856333324
7,8005.573202189192,0.11017087473022455,837881.9522819266,546721.6319713199,1384603.5842532464,135139.49031168,45046.49677056,1204417.5971710065,400000.0,804417.5971710065,201104.39929275162,1003313.1978782548,0,0,0,1003313.1978782548,0.49712322559813593,498770.29321441887
8,7965.545336178245,0.11292514659848017,854534.8560835299,554922.4564508898,1409457.3125344198,137842.28011791361,45947.4267059712,1225667.605710535,400000.0,825667.6057105351,206416.90142763377,1019250.7042829012,0,0,0,1019250.7042829012,0.4498852720345122,458545.88036768115
9,7925.717609497354,0.11574827526344214,871518.7363481898,563246.2932976531,1434765.029645843,140599.1257202719,46866.37524009063,1247299.5286854806,400000.0,847299.5286854806,211824.88217137015,1035474.6465141105,-800000,0,0,235474.6465141105,0.4071359927914137,95870.20398572959
10,7886.089021449867,0.11864198214502819,888840.17123311,571694.9876971178,1460535.1589302279,143411.10823467732,47803.70274489244,1269320.3479506583,400000.0,869320.3479506583,217330.08698766457,1051990.2609629938,0,0,0,1051990.2609629938,0.36844886225467305,387604.6147548117
11,7846.658576342618,0.12160803169865388,906505.869636368,580270.4125125745,1486776.2821489424,146279.33039937087,48759.77679979029,1291737.1749497813,400000.0,891737.1749497813,222934.29373744532,1068802.881212336,0,0,0,1068802.881212336,0.3334378843933693,356379.37154497893
12,7807.425283460904,0.12464823249112023,924522.6737953906,588974.4687002631,1513497.1424956536,149204.9170073583,49734.9723357861,1314557.2531525092,400000.0,914557.2531525092,228639.3132881273,1085917.939864382,0,0,0,1085917.939864382,0.3017537415324609,327679.8013512991
13,7768.3881570436,0.12776443830339823,942897.5619370741,597809.085730767,1540706.647667841,152189.01534750545,50729.67178250182,1337787.9605378339,400000.0,937787.9605378339,234446.99013445847,1103340.9704033753,0,0,0,1103340.9704033753,0.27308030907915015,301300.6932174432
14,7729.546216258382,0.13095854926098316,961637.6509805733,606776.2220167285,1568413.8729973016,155232.79565445558,51744.265218151864,1361436.812124694,400000.0,961436.812124694,240359.2030311735,1121077.6090935206,0,0,0,1121077.6090935206,0.24713150142909515,277053.5927538219
15,7690.89848517709,0.13423251299250774,980750.1992938123,615877.8653469792,1596628.0646407916,158337.4515675447,52779.150522514894,1385511.462550732,400000.0,985511.4625507321,246377.86563768302,1139133.596913049,0,0,380000,1519133.596913049,0.22364841758289156,339751.8250466096
