Cuenta,2023,2024,2025,Fuente
Ventas,342511,316989,384625,Holcim Ecuador - reporte financiero
Costo de ventas,182193,168288,212380,Holcim Ecuador - reporte financiero
Utilidad bruta,160318,148701,172245,Holcim Ecuador - reporte financiero
Gastos de distribución,38094,36763,54908,Holcim Ecuador - reporte financiero
Gastos de comercialización,17655,17660,19970,Holcim Ecuador - reporte financiero
Gastos administrativos,19303,14923,20056,Holcim Ecuador - reporte financiero
EBIT,85266,79355,77311,Holcim Ecuador - reporte financiero
Ingresos financieros,1090,1081,863,Holcim Ecuador - reporte financiero
Gastos financieros,2960,4514,2225,Holcim Ecuador - reporte financiero
Otros ingresos no operativos,1796,7750,14655,Holcim Ecuador - reporte financiero
Dividendos recibidos de subsidiarias,28022,16788,12640,Holcim Ecuador - reporte financiero
Utilidad antes de impuestos,113214,100460,103244,Holcim Ecuador - reporte financiero
Impuesto sobre la renta,17892,22588,18285,Holcim Ecuador - reporte financiero
Utilidad neta,95322,77872,84959,Holcim Ecuador - reporte financiero
Efectivo,7782,11411,21006,Holcim Ecuador - reporte financiero
Cuentas por cobrar,32125,33248,27700,Holcim Ecuador - reporte financiero
Cuentas financieras por cobrar CP,3878,3183,5523,Holcim Ecuador - reporte financiero
Inventarios,35634,31724,32913,Holcim Ecuador - reporte financiero
Otros activos corrientes,34797,20864,18876,Holcim Ecuador - reporte financiero
Activos corrientes,114216,100563,106018,Holcim Ecuador - reporte financiero
"Propiedad, planta y equipo",354363,342640,334271,Holcim Ecuador - reporte financiero
Activos totales,549983,529952,524167,Holcim Ecuador - reporte financiero
Pasivos corrientes,208916,139967,195568,Holcim Ecuador - reporte financiero
Pasivos totales,219691,150517,208384,Holcim Ecuador - reporte financiero
Patrimonio,330292,379435,315783,Holcim Ecuador - reporte financiero
Depreciación y amortización,29959,30511,31442,Holcim Ecuador - reporte financiero
CAPEX,0,17429,14307,Holcim Ecuador - reporte financiero
Flujo operativo,0,43615,122005,Holcim Ecuador - reporte financiero
